Timestamp,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2,Nivel_agua,Nivel_total
2022-03-28 16:31:09.077450,1524.09184,1524.67677,1530.25034,1538.64333,1552.56129,1553.279,1530.99289,1539.25816,1544.75048,1550.43396,1545.13941,1559.75223,257.0,257.0
2022-03-28 16:31:09.577450,1524.09331,1524.67726,1530.24899,1538.64288,1552.56193,1553.27912,1530.99298,1539.2573,1544.75039,1550.43379,1545.14041,1559.75174,257.0,257.0
2022-03-28 16:31:11.077450,1524.09411,1524.67715,1530.25013,1538.64347,1552.56056,1553.27854,1530.99318,1539.25744,1544.74981,1550.43356,1545.14073,1559.75288,257.0,257.0
2022-03-28 16:31:11.577450,1524.09429,1524.67652,1530.24863,1538.64334,1552.56167,1553.27919,1530.99355,1539.25843,1544.75096,1550.43357,1545.14054,1559.75394,257.0,257.0
2022-03-28 16:31:13.077450,1524.09398,1524.67674,1530.24843,1538.64303,1552.56241,1553.27811,1530.99385,1539.25868,1544.7507,1550.43304,1545.14057,1559.75221,257.0,257.0
2022-03-28 16:31:13.577450,1524.0933,1524.67651,1530.24855,1538.6434,1552.56254,1553.27895,1530.99396,1539.25833,1544.75094,1550.43364,1545.14085,1559.75217,257.0,257.0
2022-03-28 16:31:14.077450,1524.09412,1524.67691,1530.24782,1538.64345,1552.56175,1553.27872,1530.99535,1539.25801,1544.75024,1550.43381,1545.14056,1559.75239,257.0,257.0
2022-03-28 16:31:14.577450,1524.09412,1524.67572,1530.24905,1538.64296,1552.56141,1553.27902,1530.99341,1539.25769,1544.74973,1550.43371,1545.14066,1559.75352,257.0,257.0
2022-03-28 16:31:15.077450,1524.09412,1524.67631,1530.24825,1538.64355,1552.56091,1553.27898,1530.99368,1539.2578,1544.75032,1550.43318,1545.1392,1559.75258,257.0,257.0
2022-03-28 16:31:15.577450,1524.09412,1524.67679,1530.24849,1538.64387,1552.56173,1553.27889,1530.99333,1539.25809,1544.75046,1550.43316,1545.14076,1559.75289,257.0,257.0
2022-03-28 16:31:16.077450,1524.09412,1524.67652,1530.24887,1538.64323,1552.56238,1553.27881,1530.99351,1539.25762,1544.751,1550.43266,1545.14119,1559.75355,257.0,257.0
2022-03-28 16:31:16.577450,1524.09412,1524.67585,1530.2497,1538.64289,1552.56171,1553.2793,1530.99341,1539.25779,1544.75095,1550.43312,1545.14046,1559.75362,257.0,257.0
2022-03-28 16:31:17.077450,1524.09412,1524.6762,1530.24968,1538.64274,1552.56157,1553.27868,1530.99417,1539.25792,1544.75006,1550.43334,1545.14046,1559.75347,257.0,257.0
2022-03-28 16:31:17.577450,1524.09412,1524.67653,1530.24928,1538.64335,1552.56155,1553.27933,1530.99405,1539.25834,1544.75088,1550.4329,1545.13963,1559.75307,257.0,257.0
2022-03-28 16:31:18.077450,1524.09412,1524.67573,1530.24964,1538.64314,1552.56198,1553.27896,1530.99423,1539.25829,1544.75004,1550.43273,1545.14103,1559.75263,257.0,257.0
2022-03-28 16:31:18.577450,1524.09412,1524.67538,1530.24926,1538.64342,1552.56122,1553.2789,1530.99391,1539.2583,1544.75078,1550.43284,1545.14044,1559.75135,257.0,257.0
2022-03-28 16:31:19.577450,1524.09231,1524.67482,1530.25023,1538.64306,1552.5619,1553.2791,1530.99411,1539.25815,1544.75015,1550.43195,1545.13981,1559.75297,257.0,257.0
2022-03-28 16:31:22.577450,1524.09198,1524.67401,1530.24832,1538.64307,1552.56112,1553.27855,1530.99541,1539.25793,1544.75051,1550.43187,1545.14078,1559.75342,257.0,257.0
2022-03-28 16:31:23.077450,1524.09417,1524.6754,1530.24827,1538.64287,1552.56184,1553.27895,1530.99562,1539.25842,1544.75009,1550.43267,1545.14007,1559.75306,257.0,257.0
2022-03-28 16:31:23.577450,1524.09417,1524.6758,1530.24865,1538.64298,1552.56132,1553.27847,1530.99521,1539.25809,1544.7494,1550.43274,1545.14077,1559.75322,257.0,257.0
2022-03-28 16:31:24.077450,1524.09417,1524.67571,1530.248,1538.64213,1552.56175,1553.27859,1530.99546,1539.25921,1544.74981,1550.43226,1545.14059,1559.75355,257.0,257.0
2022-03-28 16:31:24.577450,1524.09417,1524.67555,1530.24957,1538.64246,1552.56202,1553.27935,1530.99486,1539.25797,1544.75091,1550.4321,1545.14096,1559.7535,257.0,257.0
2022-03-28 16:31:25.077450,1524.09417,1524.67543,1530.24838,1538.64303,1552.56153,1553.2792,1530.99575,1539.25768,1544.75109,1550.43218,1545.14045,1559.75328,257.0,257.0
2022-03-28 16:31:25.577450,1524.09417,1524.67411,1530.24839,1538.64299,1552.56311,1553.27897,1530.99572,1539.25809,1544.75124,1550.43226,1545.14116,1559.75304,257.0,257.0
2022-03-28 16:31:26.077450,1524.09625,1524.67489,1530.24821,1538.64275,1552.56229,1553.27906,1530.99658,1539.25821,1544.75098,1550.43209,1545.14092,1559.75386,257.0,257.0
2022-03-28 16:31:26.577450,1524.09625,1524.67398,1530.24875,1538.6431,1552.56243,1553.27889,1530.99581,1539.25745,1544.74984,1550.43213,1545.13995,1559.75304,257.0,257.0
