S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2
0.3644612686839537,0.009601641807421402,0.2234910277329618,0.3159780410287567,0.5593821393258622,0.7369062862017017,0.35241353329888625,0.338900922912444,0.8208824243329218,0.2994665236533365,0.5178516393636983,0.9424045517646817
0.8202744454029016,0.48671528566683264,0.5016856987494975,0.3818549552152035,0.13284686466431594,0.1471861471864031,0.4954844884287013,0.4017595910027012,0.6205538024910311,0.5315710737268091,0.3068680211467836,0.9473800851088612
0.576613688868747,0.4395499688498603,0.4027188689515242,0.34154868535097194,0.2635455382414875,0.31135296628235665,0.6190476190477057,0.3728402919648488,0.4913643407953714,0.3823388280452491,0.3413859320548909,0.9599879261443078
0.41314331839566876,0.2450251035288602,0.20761283306183032,0.20147356255438353,0.10696627680954407,0.09301262118151499,0.3483918262622865,0.12378732971274076,0.46486920477263993,0.16079089985305473,0.1022261207651809,0.9484598929004306
0.9979681019840427,0.809543005827436,0.5425049845935064,0.06662814215633261,0.013400620588981837,0.022071824889280833,0.7264526507631217,0.6435647630096355,0.21761861194590892,0.4103675059272973,0.23446575472371478,0.0011758199338203212
0.5618337183732365,0.6152380254334275,0.2452057277514541,0.2466050274488225,0.074300132983808,0.09761599902503804,0.08697068735568791,0.2921701280167781,0.12409208880262668,0.10572146324875575,0.21759797065033126,0.943123327596723
0.46803239903147187,0.31806354674336035,0.2754032988950712,0.23764807859060966,0.13847307941523468,0.1250838363521325,0.737774519686127,0.34684680060354367,0.19917097671623196,0.1950293553118172,0.2738792347265644,0.9516769572831549
0.461658362790331,0.22490563271912833,0.21105673373313039,0.18173938168183668,0.15333992566593224,0.1364550942016649,0.5935632324344624,0.32865546304765303,0.3472748660301477,0.30854126679423644,0.3058841658566962,0.9579184041466817
0.6116848052997739,0.5403305603404078,0.38930578212875844,0.2764518925168886,0.012445868995200726,0.05886836168610898,0.45524705499042284,0.37535545996775,0.5543439699758892,0.6372078581907772,0.41992840378361507,0.9554510236143869
0.5612491997662801,0.3514127606549664,0.37607395323539095,0.9868246171627106,0.19204146349784423,0.8194927138583807,0.43047537595339236,0.40117442946734627,0.853016412420402,0.9746245907190314,0.6657025675067416,0.9511245586565309
0.45375344448439137,0.2183090849121072,0.278665941635154,0.2720312048541018,0.12742523954057106,0.18553746722773212,0.6313061893563372,0.3615682329148058,0.0806617248913426,0.19600316134119566,0.22446125032593045,0.9622632823921151
0.6219834664734663,0.1762744163888783,0.9987674460762719,0.7813059809304832,0.15074845705385087,0.15306993476042408,0.4296201268621189,0.9961707850404764,0.7379800959724889,0.5453313763123333,0.1833408406628223,0.9432180245041479
0.35931193809665274,0.22644482720716042,0.09218778321610444,0.07902340364034899,0.029597299417218892,0.04621669410425966,0.4273394626186473,0.3424734880759388,0.525608230483158,0.566232923111329,0.3942888978449446,0.9554089360999711
