;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
245;23.288247060775756;0.054044871605079016;0.2721711158752441;0.004386452586036272;20;sqrt;1;2;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};0.9999602286724877;0.9999360163759261;0.9999941727580579;0.9999463255792058;0.9999915945253252;0.9999656675822006;2.3527176977648546e-05;31
29;23.732782411575318;0.1537961236077229;0.28119964599609376;0.008581532198256;;log2;1;2;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};0.9999602282274371;0.9999360163759261;0.9999941798589705;0.9999452728242135;0.9999915911748697;0.9999654576922834;2.3704383905592912e-05;33
2;23.423933887481688;0.02254493817779666;0.2853094100952148;0.0054662421927841156;;sqrt;1;2;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};0.9999602282274371;0.9999360163759261;0.9999941798589705;0.9999452728242135;0.9999915911748697;0.9999654576922834;2.3704383905592912e-05;33
0;4.740213346481323;0.0248454800480151;0.059401416778564455;0.0008066899525952448;;sqrt;1;2;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9999510185327237;0.9999439995588888;0.9999901538123146;0.999954550979755;0.999987006419046;0.9999653458605456;1.9298086090306613e-05;35
27;4.783858299255371;0.0779971617297013;0.0626443862915039;0.007486861277239854;;log2;1;2;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9999510185327237;0.9999439995588888;0.9999901538123146;0.999954550979755;0.999987006419046;0.9999653458605456;1.9298086090306613e-05;35
15;4.700700569152832;0.028192891412017158;0.05913686752319336;0.0020226634527822245;;sqrt;2;10;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.9999341466146328;0.9999313287125521;0.9999883588663432;0.9999483185410247;0.9999764576099471;0.9999557220689;2.2849382904661802e-05;37
42;4.710559749603272;0.029882067716545002;0.057427263259887694;0.0005981963409518718;;log2;2;10;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.9999341466146328;0.9999313287125521;0.9999883588663432;0.9999483185410247;0.9999764576099471;0.9999557220689;2.2849382904661802e-05;37
285;4.702568626403808;0.0230224620194341;0.057152938842773435;0.00031041181202108044;20;log2;2;10;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.9999341466146328;0.9999313287125521;0.9999883588663432;0.999948251953266;0.9999764576099471;0.9999557087513484;2.2853713096208587e-05;39
258;4.699811887741089;0.026209761954388344;0.05779423713684082;0.0005417769275170083;20;sqrt;2;10;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.9999341466146328;0.9999313287125521;0.9999883588663432;0.999948251953266;0.9999764576099471;0.9999557087513484;2.2853713096208587e-05;39
43;9.39077320098877;0.039479019437923;0.11121487617492676;0.0010191558279365298;;log2;2;10;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0.999932250089767;0.9999138830961202;0.9999901674197044;0.999958690128471;0.9999813038671528;0.9999552589202431;2.8810001339105297e-05;41
16;9.373392820358276;0.030161349207206183;0.11134939193725586;0.0006238222627914936;;sqrt;2;10;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0.999932250089767;0.9999138830961202;0.9999901674197044;0.999958690128471;0.9999813038671528;0.9999552589202431;2.8810001339105297e-05;41
286;9.378512382507324;0.0402431065832377;0.11114931106567383;0.0006480959385891254;20;log2;2;10;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0.999932250089767;0.9999138830961202;0.9999901674197044;0.999958659234948;0.999981330325904;0.9999552580332887;2.8814054784625677e-05;43
