mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56.884438562393186,1.048251224176697,1.0038278579711915,0.10121305317782256,100,5,1,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.002412223691272222,-0.0036011714620376254,-0.001623943352332764,-0.003730323266422607,-0.003767162904286122,-0.0030269649352702684,0.000862403092524552,11
111.02332010269166,3.319510284914205,1.1812357902526855,0.18507393314174658,200,10,1,1.0,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.002315864712168509,-0.0038357666699466515,-0.0017324262478187625,-0.004106702538566198,-0.0038529435729419193,-0.003168740748288408,0.000957415926616635,12
277.1345018863678,3.7055173973980073,3.7805325031280517,0.21464892092022336,500,5,1,1.0,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 20}",-0.0024078712541413015,-0.004036242321923991,-0.0016182838971028272,-0.004441037839197257,-0.003670095067435032,-0.0032347060759600815,0.001056762672823007,13
296.8530074119568,4.690242011603,3.096373701095581,0.5817163393938513,500,10,1,1.0,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.0024281810965633096,-0.004037238578811797,-0.0016390288326452577,-0.004450621815790484,-0.003647994062729879,-0.0032406128773081453,0.0010478368594606623,14
53.357858991622926,0.2293807468457479,0.9090400218963623,0.09418490964306428,100,2,2,1.0,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None}",-0.002584318367306558,-0.005730076015220137,-0.0019211861087485454,-0.007637978204369049,-0.003918016072215017,-0.004358314953571861,0.0020937260302226197,15
64.32617444992066,1.1510762946663227,1.028193759918213,0.16484937929572216,100,5,2,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None}",-0.002584579222678781,-0.005778438236118669,-0.0019400901297325537,-0.0076415540520840325,-0.003950666059976138,-0.004379065540118034,0.0020954418886502085,16
105.39196162223816,2.16815879651961,1.41714506149292,0.23572726945386957,200,2,2,1.0,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 20}",-0.002440483593594475,-0.006111185901753843,-0.0020240794197686537,-0.007814522652088816,-0.003968597143381608,-0.0044717737421174795,0.0022014620758459055,17
97.09903874397278,1.3300257408458853,1.3877794742584229,0.3000023553776754,200,10,1,1.0,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.005451995387255472,-0.0056200663993921035,-0.004733201253633664,-0.0063256988969794484,-0.006148025786511874,-0.005655797544754511,0.0005630368396892802,18
95.12205920219421,1.2511754844595158,1.4127480506896972,0.15753003067205676,200,5,1,1.0,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.005450546630004371,-0.005622745421550126,-0.0047350884400289735,-0.006328721551005297,-0.006145767550879835,-0.005656573918693721,0.0005628179008679766,19
242.40360555648803,2.3831686086853754,3.07272047996521,0.394683290027427,500,2,1,1.0,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.005561718060507648,-0.005694863641415689,-0.004618162159940828,-0.006446185616891933,-0.006024756488717938,-0.005669137193494807,0.0006077859124473156,20
